,Year,Month,halocline
0,1961.0,1.0,37.0
1,1962.0,1.0,37.0
2,1963.0,1.0,71.0
3,1964.0,1.0,61.0
4,1965.0,1.0,81.0
5,1969.0,1.0,71.0
6,1970.0,1.0,71.0
7,1971.0,1.0,71.0
8,1973.0,1.0,81.0
9,1976.0,1.0,76.0
10,1978.0,1.0,71.0
11,1979.0,1.0,81.0
12,1980.0,1.0,71.0
13,1983.0,1.0,71.0
14,1984.0,1.0,93.0
15,1985.0,1.0,61.0
16,1986.0,1.0,81.0
17,1987.0,1.0,71.0
18,1988.0,1.0,81.0
19,1989.0,1.0,96.0
20,1990.0,1.0,98.0
21,1991.0,1.0,71.0
22,1992.0,1.0,98.0
23,1993.0,1.0,148.0
24,1994.0,1.0,81.0
25,1995.0,1.0,88.0
26,1996.0,1.0,93.0
27,1997.0,1.0,71.0
28,1998.0,1.0,71.0
29,1999.0,1.0,71.0
30,2000.0,1.0,81.0
31,2001.0,1.0,61.0
32,2002.0,1.0,98.0
33,2003.0,1.0,71.0
34,2004.0,1.0,71.0
35,2006.0,1.0,77.0
36,1958.0,1.0,
37,1960.0,1.0,
38,1967.0,1.0,
39,1968.0,1.0,
40,1974.0,1.0,
41,1975.0,1.0,
42,1977.0,1.0,
43,1981.0,1.0,
44,1982.0,1.0,
45,2005.0,1.0,
46,2007.0,1.0,
47,2008.0,1.0,
48,2009.0,1.0,
49,2010.0,1.0,
50,2011.0,1.0,
51,2012.0,1.0,
52,2013.0,1.0,
53,2014.0,1.0,
54,2015.0,1.0,
55,2016.0,1.0,
56,2017.0,1.0,
57,2018.0,1.0,
58,2019.0,1.0,
59,1972.0,1.0,
60,1966.0,1.0,
61,1961.0,2.0,
62,1962.0,2.0,
63,1963.0,2.0,151.0
64,1964.0,2.0,27.0
65,1965.0,2.0,
66,1969.0,2.0,
67,1970.0,2.0,
68,1971.0,2.0,61.0
69,1973.0,2.0,
70,1976.0,2.0,
71,1978.0,2.0,75.0
72,1979.0,2.0,
73,1980.0,2.0,
74,1983.0,2.0,76.0
75,1984.0,2.0,76.0
76,1985.0,2.0,79.0
77,1986.0,2.0,77.0
78,1987.0,2.0,80.0
79,1988.0,2.0,76.0
80,1989.0,2.0,
81,1990.0,2.0,85.0
82,1991.0,2.0,89.0
83,1992.0,2.0,96.0
84,1993.0,2.0,102.0
85,1994.0,2.0,92.0
86,1995.0,2.0,89.0
87,1996.0,2.0,83.0
88,1997.0,2.0,84.0
89,1998.0,2.0,71.0
90,1999.0,2.0,76.0
91,2000.0,2.0,84.0
92,2001.0,2.0,76.0
93,2002.0,2.0,81.0
94,2003.0,2.0,80.0
95,2004.0,2.0,73.0
96,2006.0,2.0,76.0
97,1958.0,2.0,27.0
98,1960.0,2.0,37.0
99,1967.0,2.0,71.0
100,1968.0,2.0,61.0
101,1974.0,2.0,71.0
102,1975.0,2.0,85.0
103,1977.0,2.0,71.0
104,1981.0,2.0,81.0
105,1982.0,2.0,65.0
106,2005.0,2.0,79.0
107,2007.0,2.0,78.0
108,2008.0,2.0,80.0
109,2009.0,2.0,83.0
110,2010.0,2.0,73.0
111,2011.0,2.0,64.0
112,2012.0,2.0,80.0
113,2013.0,2.0,61.0
114,2014.0,2.0,87.0
115,2015.0,2.0,77.0
116,2016.0,2.0,81.0
117,2017.0,2.0,84.0
118,2018.0,2.0,81.0
119,2019.0,2.0,76.0
120,1972.0,2.0,
121,1966.0,2.0,
122,1961.0,3.0,
123,1962.0,3.0,
124,1963.0,3.0,
125,1964.0,3.0,
126,1965.0,3.0,
127,1969.0,3.0,71.0
128,1970.0,3.0,84.0
129,1971.0,3.0,61.0
130,1973.0,3.0,70.0
131,1976.0,3.0,81.0
132,1978.0,3.0,80.0
133,1979.0,3.0,
134,1980.0,3.0,79.0
135,1983.0,3.0,148.0
136,1984.0,3.0,76.0
137,1985.0,3.0,63.0
138,1986.0,3.0,76.0
139,1987.0,3.0,
140,1988.0,3.0,80.0
141,1989.0,3.0,76.0
142,1990.0,3.0,84.0
143,1991.0,3.0,
144,1992.0,3.0,102.0
145,1993.0,3.0,97.0
146,1994.0,3.0,83.0
147,1995.0,3.0,87.0
148,1996.0,3.0,80.0
149,1997.0,3.0,91.0
150,1998.0,3.0,80.0
151,1999.0,3.0,70.0
152,2000.0,3.0,81.0
153,2001.0,3.0,73.0
154,2002.0,3.0,71.0
155,2003.0,3.0,76.0
156,2004.0,3.0,77.0
157,2006.0,3.0,
158,1958.0,3.0,
159,1960.0,3.0,37.0
160,1967.0,3.0,
161,1968.0,3.0,
162,1974.0,3.0,81.0
163,1975.0,3.0,81.0
164,1977.0,3.0,71.0
165,1981.0,3.0,71.0
166,1982.0,3.0,83.0
167,2005.0,3.0,
168,2007.0,3.0,84.0
169,2008.0,3.0,80.0
170,2009.0,3.0,79.0
171,2010.0,3.0,60.0
172,2011.0,3.0,80.0
173,2012.0,3.0,78.0
174,2013.0,3.0,73.0
175,2014.0,3.0,82.0
176,2015.0,3.0,79.0
177,2016.0,3.0,79.0
178,2017.0,3.0,78.0
179,2018.0,3.0,82.0
180,2019.0,3.0,74.0
181,1972.0,3.0,81.0
182,1966.0,3.0,
183,1961.0,4.0,37.0
184,1962.0,4.0,37.0
185,1963.0,4.0,
186,1964.0,4.0,71.0
187,1965.0,4.0,71.0
188,1969.0,4.0,71.0
189,1970.0,4.0,71.0
190,1971.0,4.0,61.0
191,1973.0,4.0,
192,1976.0,4.0,84.0
193,1978.0,4.0,15.0
194,1979.0,4.0,46.0
195,1980.0,4.0,81.0
196,1983.0,4.0,92.0
197,1984.0,4.0,76.0
198,1985.0,4.0,
199,1986.0,4.0,76.0
200,1987.0,4.0,84.0
201,1988.0,4.0,
202,1989.0,4.0,89.0
203,1990.0,4.0,148.0
204,1991.0,4.0,91.0
205,1992.0,4.0,138.0
206,1993.0,4.0,90.0
207,1994.0,4.0,98.0
208,1995.0,4.0,81.0
209,1996.0,4.0,81.0
210,1997.0,4.0,98.0
211,1998.0,4.0,71.0
212,1999.0,4.0,71.0
213,2000.0,4.0,81.0
214,2001.0,4.0,71.0
215,2002.0,4.0,75.0
216,2003.0,4.0,81.0
217,2004.0,4.0,71.0
218,2006.0,4.0,
219,1958.0,4.0,
220,1960.0,4.0,
221,1967.0,4.0,
222,1968.0,4.0,
223,1974.0,4.0,79.0
224,1975.0,4.0,79.0
225,1977.0,4.0,82.0
226,1981.0,4.0,71.0
227,1982.0,4.0,
228,2005.0,4.0,80.0
229,2007.0,4.0,
230,2008.0,4.0,
231,2009.0,4.0,
232,2010.0,4.0,
233,2011.0,4.0,
234,2012.0,4.0,
235,2013.0,4.0,
236,2014.0,4.0,
237,2015.0,4.0,80.0
238,2016.0,4.0,
239,2017.0,4.0,
240,2018.0,4.0,
241,2019.0,4.0,
242,1972.0,4.0,71.0
243,1966.0,4.0,151.0
244,1961.0,5.0,
245,1962.0,5.0,
246,1963.0,5.0,151.0
247,1964.0,5.0,151.0
248,1965.0,5.0,
249,1969.0,5.0,51.0
250,1970.0,5.0,61.0
251,1971.0,5.0,71.0
252,1973.0,5.0,75.0
253,1976.0,5.0,81.0
254,1978.0,5.0,61.0
255,1979.0,5.0,
256,1980.0,5.0,75.0
257,1983.0,5.0,86.0
258,1984.0,5.0,79.0
259,1985.0,5.0,71.0
260,1986.0,5.0,75.0
261,1987.0,5.0,97.0
262,1988.0,5.0,72.0
263,1989.0,5.0,83.0
264,1990.0,5.0,84.0
265,1991.0,5.0,85.0
266,1992.0,5.0,93.0
267,1993.0,5.0,95.0
268,1994.0,5.0,85.0
269,1995.0,5.0,87.0
270,1996.0,5.0,80.0
271,1997.0,5.0,89.0
272,1998.0,5.0,70.0
273,1999.0,5.0,74.0
274,2000.0,5.0,86.0
275,2001.0,5.0,72.0
276,2002.0,5.0,76.0
277,2003.0,5.0,87.0
278,2004.0,5.0,75.0
279,2006.0,5.0,62.0
280,1958.0,5.0,
281,1960.0,5.0,
282,1967.0,5.0,
283,1968.0,5.0,
284,1974.0,5.0,
285,1975.0,5.0,82.0
286,1977.0,5.0,61.0
287,1981.0,5.0,89.0
288,1982.0,5.0,75.0
289,2005.0,5.0,78.0
290,2007.0,5.0,77.0
291,2008.0,5.0,82.0
292,2009.0,5.0,71.0
293,2010.0,5.0,68.0
294,2011.0,5.0,75.0
295,2012.0,5.0,80.0
296,2013.0,5.0,64.0
297,2014.0,5.0,75.0
298,2015.0,5.0,82.0
299,2016.0,5.0,78.0
300,2017.0,5.0,80.0
301,2018.0,5.0,72.0
302,2019.0,5.0,75.0
303,1972.0,5.0,71.0
304,1966.0,5.0,61.0
305,1961.0,6.0,
306,1962.0,6.0,
307,1963.0,6.0,
308,1964.0,6.0,
309,1965.0,6.0,81.0
310,1969.0,6.0,
311,1970.0,6.0,71.0
312,1971.0,6.0,61.0
313,1973.0,6.0,71.0
314,1976.0,6.0,98.0
315,1978.0,6.0,71.0
316,1979.0,6.0,71.0
317,1980.0,6.0,
318,1983.0,6.0,71.0
319,1984.0,6.0,
320,1985.0,6.0,70.0
321,1986.0,6.0,71.0
322,1987.0,6.0,
323,1988.0,6.0,
324,1989.0,6.0,148.0
325,1990.0,6.0,
326,1991.0,6.0,85.0
327,1992.0,6.0,
328,1993.0,6.0,91.0
329,1994.0,6.0,
330,1995.0,6.0,98.0
331,1996.0,6.0,98.0
332,1997.0,6.0,81.0
333,1998.0,6.0,71.0
334,1999.0,6.0,71.0
335,2000.0,6.0,71.0
336,2001.0,6.0,71.0
337,2002.0,6.0,71.0
