,Year,Month,Day,Depth,no3
0,1965.0,1.0,13.0,1.5,0.44
1,1965.0,1.0,13.0,5.0,0.83
2,1965.0,1.0,13.0,10.0,0.79
3,1965.0,1.0,13.0,245.0,5.76
4,1965.0,4.0,7.0,1.5,1.14
5,1965.0,4.0,7.0,5.0,0.84
6,1965.0,4.0,7.0,10.0,0.78
7,1965.0,4.0,7.0,100.0,5.5
8,1965.0,4.0,7.0,240.0,5.19
9,1965.0,6.0,15.0,80.0,1.74
10,1965.0,6.0,15.0,100.0,7.79
11,1965.0,6.0,15.0,245.0,7.89
12,1965.0,8.0,28.0,100.0,5.22
13,1965.0,8.0,28.0,245.0,7.95
14,1965.0,12.0,9.0,90.0,6.32
15,1965.0,12.0,9.0,100.0,6.0
16,1965.0,12.0,9.0,240.0,8.95
17,1966.0,5.0,11.0,100.0,3.14
18,1966.0,5.0,11.0,240.0,2.8
19,1966.0,11.0,21.0,80.0,1.0
20,1966.0,11.0,21.0,100.0,2.6
21,1966.0,11.0,21.0,240.0,0.0
22,1968.0,6.0,6.0,0.0,0.1
23,1968.0,6.0,6.0,5.0,0.1
24,1968.0,6.0,6.0,10.0,0.35
25,1968.0,6.0,6.0,15.0,0.1
26,1968.0,6.0,6.0,20.0,0.1
27,1968.0,6.0,6.0,30.0,0.1
28,1968.0,6.0,6.0,40.0,0.1
29,1968.0,6.0,6.0,50.0,0.1
30,1968.0,6.0,6.0,60.0,0.1
31,1968.0,6.0,6.0,70.0,0.75
32,1968.0,6.0,6.0,80.0,4.28
33,1968.0,6.0,6.0,90.0,5.0
34,1968.0,6.0,6.0,100.0,2.85
35,1968.0,6.0,6.0,125.0,5.25
36,1968.0,6.0,6.0,150.0,1.27
37,1968.0,6.0,6.0,175.0,0.1
38,1968.0,6.0,6.0,200.0,2.0
39,1968.0,6.0,6.0,225.0,0.2
40,1968.0,6.0,6.0,240.0,0.1
41,1968.0,9.0,5.0,80.0,2.0
42,1968.0,9.0,5.0,90.0,3.37
43,1968.0,9.0,5.0,100.0,3.72
44,1968.0,9.0,5.0,240.0,0.08
45,1968.0,11.0,11.0,0.0,0.3
46,1968.0,11.0,11.0,5.0,0.1
47,1968.0,11.0,11.0,10.0,0.2
48,1968.0,11.0,11.0,15.0,0.1
49,1968.0,11.0,11.0,20.0,0.6
50,1968.0,11.0,11.0,30.0,0.15
51,1968.0,11.0,11.0,40.0,0.1
52,1968.0,11.0,11.0,50.0,0.75
53,1968.0,11.0,11.0,60.0,0.95
54,1968.0,11.0,11.0,70.0,1.92
55,1968.0,11.0,11.0,80.0,2.7
56,1968.0,11.0,11.0,90.0,3.8
57,1968.0,11.0,11.0,100.0,3.05
58,1968.0,11.0,11.0,125.0,3.58
59,1968.0,11.0,11.0,150.0,0.2
60,1968.0,11.0,11.0,175.0,0.2
61,1968.0,11.0,11.0,200.0,0.2
62,1968.0,11.0,11.0,225.0,0.1
63,1968.0,11.0,11.0,240.0,0.1
64,1969.0,1.0,25.0,0.0,1.0
65,1969.0,1.0,25.0,1.5,1.0
66,1969.0,1.0,25.0,5.0,1.27
67,1969.0,1.0,25.0,10.0,1.27
68,1969.0,1.0,25.0,15.0,1.55
69,1969.0,1.0,25.0,20.0,1.43
70,1969.0,1.0,25.0,30.0,1.23
71,1969.0,1.0,25.0,40.0,1.47
72,1969.0,1.0,25.0,50.0,1.65
73,1969.0,1.0,25.0,60.0,1.7
74,1969.0,1.0,25.0,70.0,2.15
75,1969.0,1.0,25.0,80.0,2.35
76,1969.0,1.0,25.0,90.0,2.85
77,1969.0,1.0,25.0,100.0,4.5
78,1969.0,1.0,25.0,125.0,4.05
79,1969.0,1.0,25.0,150.0,0.6
80,1969.0,1.0,25.0,175.0,0.4
81,1969.0,1.0,25.0,200.0,1.05
82,1969.0,1.0,25.0,225.0,0.75
83,1969.0,1.0,25.0,240.0,0.75
84,1969.0,3.0,4.0,0.5,2.02
85,1969.0,3.0,4.0,5.0,2.07
86,1969.0,3.0,4.0,10.0,2.06
87,1969.0,3.0,4.0,15.0,2.06
88,1969.0,3.0,4.0,20.0,2.06
89,1969.0,3.0,4.0,30.0,2.05
90,1969.0,3.0,4.0,40.0,2.26
91,1969.0,3.0,4.0,50.0,2.3
92,1969.0,3.0,4.0,60.0,2.42
93,1969.0,3.0,4.0,70.0,3.54
94,1969.0,3.0,4.0,80.0,5.78
95,1969.0,3.0,4.0,100.0,6.11
96,1969.0,3.0,4.0,125.0,0.51
97,1969.0,3.0,4.0,150.0,0.0
98,1969.0,3.0,4.0,175.0,0.0
99,1969.0,3.0,4.0,200.0,0.0
100,1969.0,3.0,4.0,225.0,0.0
101,1969.0,3.0,4.0,240.0,0.0
102,1969.0,3.0,5.0,0.5,2.11
103,1969.0,3.0,5.0,10.0,2.11
104,1969.0,3.0,5.0,30.0,2.1
105,1969.0,3.0,5.0,50.0,2.24
106,1969.0,3.0,8.0,1.0,2.24
107,1969.0,3.0,8.0,5.0,2.24
108,1969.0,3.0,8.0,10.0,2.24
109,1969.0,3.0,8.0,15.0,2.23
110,1969.0,3.0,8.0,20.0,2.22
111,1969.0,3.0,8.0,30.0,2.24
112,1969.0,3.0,8.0,40.0,2.28
113,1969.0,3.0,8.0,50.0,2.31
114,1969.0,3.0,8.0,60.0,2.46
115,1969.0,3.0,8.0,70.0,5.55
116,1969.0,3.0,8.0,80.0,5.88
117,1969.0,3.0,8.0,100.0,6.38
118,1969.0,3.0,8.0,125.0,5.01
119,1969.0,3.0,8.0,150.0,0.0
120,1969.0,3.0,8.0,175.0,0.0
121,1969.0,3.0,8.0,200.0,0.0
122,1969.0,3.0,8.0,225.0,0.0
123,1969.0,3.0,8.0,233.0,0.0
124,1969.0,3.0,28.0,1.5,2.87
125,1969.0,3.0,28.0,5.0,3.14
126,1969.0,3.0,28.0,10.0,2.9
127,1969.0,4.0,19.0,0.0,0.1
128,1969.0,4.0,19.0,5.0,0.1
