,Year,Depth,Month,Day,po4
0,1958.0,2.0,2.0,15.0,0.13
1,1958.0,80.0,2.0,15.0,0.85
2,1958.0,80.0,7.0,25.0,0.35
3,1958.0,100.0,7.0,25.0,0.92
4,1958.0,100.0,11.0,8.0,0.88
5,1959.0,2.0,2.0,2.0,0.21
6,1959.0,2.0,4.0,16.0,0.13
7,1959.0,231.0,10.0,21.0,10.6
8,1960.0,2.0,2.0,3.0,0.21
9,1960.0,2.0,3.0,19.0,0.27
10,1960.0,100.0,2.0,3.0,1.14
11,1960.0,100.0,3.0,19.0,0.77
12,1960.0,100.0,8.0,28.0,0.86
13,1960.0,100.0,11.0,1.0,1.0
14,1961.0,2.0,1.0,12.0,0.19
15,1961.0,2.0,4.0,15.0,0.12
16,1961.0,100.0,1.0,12.0,1.11
17,1961.0,100.0,4.0,15.0,1.05
18,1961.0,100.0,7.0,22.0,1.16
19,1961.0,100.0,11.0,9.0,1.32
20,1961.0,230.0,1.0,12.0,8.5
21,1961.0,240.0,7.0,22.0,1.82
22,1962.0,0.0,10.0,25.0,0.1
23,1962.0,2.0,1.0,11.0,0.72
24,1962.0,2.0,4.0,4.0,0.65
25,1962.0,5.0,10.0,25.0,0.12
26,1962.0,10.0,10.0,25.0,0.1
27,1962.0,15.0,10.0,25.0,0.1
28,1962.0,20.0,10.0,25.0,0.11
29,1962.0,30.0,10.0,25.0,0.09
30,1962.0,40.0,10.0,25.0,0.11
31,1962.0,50.0,10.0,25.0,0.26
32,1962.0,60.0,10.0,25.0,0.33
33,1962.0,70.0,10.0,25.0,0.41
34,1962.0,80.0,10.0,25.0,0.45
35,1962.0,90.0,10.0,25.0,1.26
36,1962.0,100.0,1.0,11.0,1.56
37,1962.0,100.0,4.0,4.0,1.52
38,1962.0,100.0,10.0,25.0,1.35
39,1962.0,125.0,10.0,25.0,1.56
40,1962.0,150.0,10.0,25.0,2.17
41,1962.0,175.0,10.0,25.0,2.56
42,1962.0,200.0,10.0,25.0,2.56
43,1962.0,225.0,10.0,25.0,2.41
44,1962.0,239.0,4.0,4.0,2.31
45,1962.0,240.0,10.0,25.0,2.8
46,1963.0,0.0,8.0,15.0,0.17
47,1963.0,0.0,10.0,23.0,0.02
48,1963.0,2.0,2.0,23.0,0.25
49,1963.0,5.0,8.0,15.0,0.14
50,1963.0,5.0,10.0,23.0,0.02
51,1963.0,10.0,8.0,15.0,0.14
52,1963.0,10.0,10.0,23.0,0.05
53,1963.0,15.0,8.0,15.0,0.17
54,1963.0,15.0,10.0,23.0,0.02
55,1963.0,20.0,8.0,15.0,0.21
56,1963.0,20.0,10.0,23.0,0.02
57,1963.0,30.0,8.0,15.0,0.21
58,1963.0,30.0,10.0,23.0,0.05
59,1963.0,40.0,8.0,15.0,0.21
60,1963.0,40.0,10.0,23.0,0.05
61,1963.0,50.0,8.0,15.0,0.21
62,1963.0,50.0,10.0,23.0,0.08
63,1963.0,60.0,8.0,15.0,0.3
64,1963.0,60.0,10.0,23.0,0.15
65,1963.0,70.0,8.0,15.0,0.83
66,1963.0,70.0,10.0,23.0,0.41
67,1963.0,80.0,2.0,23.0,1.44
68,1963.0,80.0,5.0,19.0,1.02
69,1963.0,80.0,8.0,14.0,1.1
70,1963.0,80.0,9.0,24.0,1.33
71,1963.0,80.0,10.0,23.0,0.89
72,1963.0,90.0,8.0,15.0,1.09
73,1963.0,90.0,10.0,23.0,1.18
74,1963.0,100.0,2.0,23.0,1.39
75,1963.0,100.0,5.0,19.0,1.45
76,1963.0,100.0,8.0,14.0,1.28
77,1963.0,100.0,9.0,24.0,1.61
78,1963.0,100.0,10.0,23.0,1.28
79,1963.0,125.0,8.0,15.0,1.3
80,1963.0,125.0,10.0,23.0,1.62
81,1963.0,150.0,8.0,15.0,2.09
82,1963.0,150.0,10.0,23.0,3.05
83,1963.0,175.0,8.0,15.0,3.35
84,1963.0,175.0,10.0,23.0,4.59
85,1963.0,200.0,8.0,15.0,3.96
86,1963.0,200.0,10.0,23.0,5.51
87,1963.0,230.0,2.0,23.0,5.66
88,1963.0,230.0,5.0,19.0,7.23
89,1963.0,230.0,8.0,13.0,9.31
90,1963.0,230.0,9.0,24.0,6.51
91,1963.0,240.0,10.0,23.0,9.0
92,1963.0,250.0,8.0,15.0,9.61
93,1964.0,0.0,1.0,10.0,0.22
94,1964.0,0.0,4.0,15.0,0.17
95,1964.0,0.0,8.0,5.0,0.2
96,1964.0,0.0,11.0,4.0,0.11
97,1964.0,2.0,1.0,10.0,0.22
98,1964.0,2.0,2.0,28.0,0.16
99,1964.0,2.0,4.0,15.0,0.17
100,1964.0,5.0,1.0,10.0,0.22
101,1964.0,5.0,4.0,15.0,0.15
102,1964.0,5.0,8.0,5.0,0.14500000000000002
103,1964.0,5.0,11.0,4.0,0.08
104,1964.0,10.0,1.0,10.0,0.23
105,1964.0,10.0,4.0,15.0,0.17
106,1964.0,10.0,8.0,5.0,0.16499999999999998
107,1964.0,10.0,11.0,4.0,0.1
108,1964.0,15.0,1.0,10.0,0.19
109,1964.0,15.0,4.0,15.0,0.16
110,1964.0,15.0,8.0,5.0,0.19
111,1964.0,15.0,11.0,4.0,0.1
112,1964.0,20.0,1.0,10.0,0.22
113,1964.0,20.0,4.0,15.0,0.14
